Order No.,Date,Payment Type,Order Type,Area Type,My Amount,Discount,Delivery Charge,Container Charge,Service Charge,Additional Charge,CGST (A),SGST (A),Waived off,Total,Assign to,Biller Name,Reason,Tip,Total + Tip
32099,26-01-25,Cash,Dine In (24),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32100,26-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32101,26-01-25,Online [Swiggy],Delivery,Swiggy,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32102,26-01-25,Online [Swiggy],Delivery,Swiggy,615.00,0.00,0.00,0.00,0.00,-,15.38,15.38,0.00,646.00,-,biller,,0.00,646.00
32103,26-01-25,Online [Swiggy],Delivery,Swiggy,369.00,74.99,0.00,0.00,0.00,-,7.35,7.35,0.00,309.00,-,biller,,0.00,309.00
32104,26-01-25,Online [Swiggy],Delivery,Swiggy,548.00,139.99,0.00,0.00,0.00,-,10.20,10.20,0.00,428.00,-,biller,,0.00,428.00
32105,26-01-25,Cash,TAKE AWAY,Parcel,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32106,26-01-25,Cash,TAKE AWAY,Parcel,506.00,0.00,0.00,0.00,0.00,-,12.65,12.65,0.00,531.00,-,biller,,0.00,531.00
32107,26-01-25,Online [Swiggy],Delivery,Swiggy,304.00,74.99,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
32108,26-01-25,Online [Swiggy],Delivery,Swiggy,799.00,131.25,0.00,0.00,0.00,-,16.69,16.69,0.00,701.00,-,biller,,0.00,701.00
32109,26-01-25,Cash,Dine In (24),-,1057.00,0.00,0.00,0.00,0.00,-,26.43,26.43,0.00,1110.00,-,biller,,0.00,1110.00
32110,26-01-25,Online [Swiggy],Delivery,Swiggy,340.00,75.00,0.00,0.00,0.00,-,6.63,6.63,0.00,278.00,-,biller,,0.00,278.00
32111,26-01-25,Cash,Dine In (22),-,1611.00,0.00,0.00,0.00,0.00,-,40.28,40.28,0.00,1692.00,-,biller,,0.00,1692.00
32112,26-01-25,Online [Swiggy],Delivery,Swiggy,279.00,56.25,0.00,0.00,0.00,-,5.57,5.57,0.00,234.00,-,biller,,0.00,234.00
32113,26-01-25,Cash,Dine In (23),-,669.00,0.00,0.00,0.00,0.00,-,16.73,16.73,0.00,702.00,-,biller,,0.00,702.00
32114,26-01-25,Online [Swiggy],Delivery,Swiggy,254.00,56.24,0.00,0.00,0.00,-,4.94,4.94,0.00,208.00,-,biller,,0.00,208.00
32115,26-01-25,Cash,Dine In (22),-,708.00,0.00,0.00,0.00,0.00,-,17.70,17.70,0.00,743.00,-,biller,,0.00,743.00
32116,26-01-25,Online [Swiggy],Delivery,Swiggy,220.00,49.50,0.00,0.00,0.00,-,4.26,4.26,0.00,179.00,-,biller,,0.00,179.00
32117,26-01-25,Online [Swiggy],Delivery,Swiggy,349.00,75.00,0.00,0.00,0.00,-,6.85,6.85,0.00,288.00,-,biller,,0.00,288.00
32118,26-01-25,Cash,Dine In (21),-,1529.00,0.00,0.00,0.00,0.00,-,38.23,38.23,0.00,1605.00,-,biller,,0.00,1605.00
32119,26-01-25,Cash,Dine In (24),-,548.00,0.00,0.00,0.00,0.00,-,13.70,13.70,0.00,575.00,-,biller,,0.00,575.00
32120,26-01-25,Online [Swiggy],Delivery,Swiggy,359.00,75.00,0.00,0.00,0.00,-,7.10,7.10,0.00,-298.00,-,biller,because the delivery partner faced an emergency and was unable to deliver your order post pickup from the restaurant. We apologise for the inconvenience,0.00,298.00
32121,26-01-25,Cash,Dine In (1),-,1616.00,0.00,0.00,0.00,0.00,-,40.40,40.40,0.00,1697.00,-,biller,,0.00,1697.00
32122,26-01-25,Online [Swiggy],Delivery,Swiggy,359.00,75.00,0.00,0.00,0.00,-,7.10,7.10,0.00,298.00,-,biller,,0.00,298.00
32123,27-01-25,Cash,Dine In (24),-,967.00,0.00,0.00,0.00,0.00,-,24.18,24.18,0.00,1015.00,-,biller,,0.00,1015.00
32124,27-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32125,27-01-25,Online [Swiggy],Delivery,Swiggy,399.00,140.00,0.00,0.00,0.00,-,6.48,6.48,0.00,272.00,-,biller,,0.00,272.00
32126,27-01-25,Online [Swiggy],Delivery,Swiggy,399.00,140.00,0.00,0.00,0.00,-,6.48,6.48,0.00,272.00,-,biller,,0.00,272.00
32127,27-01-25,Cash,Dine In (22),-,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32128,27-01-25,Online [Swiggy],Delivery,Swiggy,349.00,56.25,0.00,0.00,0.00,-,7.32,7.32,0.00,307.00,-,biller,,0.00,307.00
32129,27-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32130,27-01-25,Online [Swiggy],Delivery,Swiggy,439.00,139.99,0.00,0.00,0.00,-,7.48,7.48,0.00,314.00,-,biller,,0.00,314.00
32131,27-01-25,Online [Swiggy],Delivery,Swiggy,548.00,139.99,0.00,0.00,0.00,-,10.20,10.20,0.00,428.00,-,biller,,0.00,428.00
32132,27-01-25,Cash,Dine In (21),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32133,27-01-25,Cash,Dine In (8),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32134,27-01-25,Cash,Dine In (9),-,349.00,34.90,0.00,0.00,0.00,-,7.85,7.85,0.00,330.00,-,biller,,0.00,330.00
32135,27-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32136,27-01-25,Cash,Dine In (19),-,1884.00,0.00,0.00,0.00,0.00,-,47.10,47.10,0.00,1978.00,-,biller,,0.00,1978.00
32137,27-01-25,Online [Swiggy],Delivery,Swiggy,260.00,56.25,0.00,0.00,0.00,-,5.09,5.09,0.00,214.00,-,biller,,0.00,214.00
32138,27-01-25,Online [Swiggy],Delivery,Swiggy,120.00,0.00,0.00,0.00,0.00,-,3.00,3.00,0.00,126.00,-,biller,,0.00,126.00
32139,27-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32140,27-01-25,Cash,Dine In (25),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
32141,27-01-25,Cash,Dine In (23),-,819.00,81.90,0.00,0.00,0.00,-,18.43,18.43,0.00,774.00,-,biller,,0.00,774.00
32142,27-01-25,Cash,Dine In (9),-,596.00,0.00,0.00,0.00,0.00,-,14.90,14.90,0.00,626.00,-,biller,,0.00,626.00
32143,27-01-25,Online [Swiggy],Delivery,Swiggy,545.00,0.00,0.00,0.00,0.00,-,13.63,13.63,0.00,572.00,-,biller,,0.00,572.00
32144,27-01-25,Online [Swiggy],Delivery,Swiggy,299.00,56.25,0.00,0.00,0.00,-,6.07,6.07,0.00,255.00,-,biller,,0.00,255.00
32145,27-01-25,Online [Swiggy],Delivery,Swiggy,637.00,139.98,0.00,0.00,0.00,-,12.43,12.43,0.00,522.00,-,biller,,0.00,522.00
32146,27-01-25,Cash,Dine In (20),-,7104.00,710.40,0.00,0.00,0.00,-,159.84,159.84,0.00,6713.00,-,biller,,0.00,6713.00
32147,27-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32148,27-01-25,Online [Swiggy],Delivery,Swiggy,724.00,186.13,0.00,0.00,0.00,-,13.45,13.45,0.00,565.00,-,biller,,0.00,565.00
32149,27-01-25,Cash,Dine In (25),-,289.00,0.00,0.00,0.00,0.00,-,7.23,7.23,0.00,303.00,-,biller,,0.00,303.00
32150,27-01-25,Online [Swiggy],Delivery,Swiggy,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32151,27-01-25,Cash,Dine In (24),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32152,27-01-25,Online [Swiggy],Delivery,Swiggy,1278.00,149.99,0.00,0.00,0.00,-,28.20,28.20,0.00,1184.00,-,biller,,0.00,1184.00
32153,28-01-25,Cash,TAKE AWAY,Parcel,518.00,0.00,0.00,0.00,0.00,-,12.95,12.95,0.00,544.00,-,biller,,0.00,544.00
32154,28-01-25,Cash,Dine In (22),-,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32155,28-01-25,Cash,TAKE AWAY,Parcel,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32156,28-01-25,Online [Swiggy],Delivery,Swiggy,379.00,0.00,0.00,0.00,0.00,-,9.48,9.48,0.00,398.00,-,biller,,0.00,398.00
32157,28-01-25,Cash,Dine In (23),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32158,28-01-25,Online [Swiggy],Delivery,Swiggy,289.00,56.25,0.00,0.00,0.00,-,5.82,5.82,0.00,244.00,-,biller,,0.00,244.00
32159,28-01-25,Online [Swiggy],Delivery,Swiggy,669.00,131.25,0.00,0.00,0.00,-,13.44,13.44,0.00,565.00,-,biller,,0.00,565.00
32160,28-01-25,Cash,TAKE AWAY,Parcel,259.00,0.00,0.00,0.00,0.00,-,6.48,6.48,0.00,272.00,-,biller,,0.00,272.00
32161,28-01-25,Cash,Dine In (24),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
32162,28-01-25,Cash,Dine In (25),-,596.00,0.00,0.00,0.00,0.00,-,14.90,14.90,0.00,626.00,-,biller,,0.00,626.00
32163,28-01-25,Cash,Dine In (23),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32164,28-01-25,Cash,Dine In (24),-,464.00,0.00,0.00,0.00,0.00,-,11.60,11.60,0.00,487.00,-,biller,,0.00,487.00
32165,28-01-25,Cash,TAKE AWAY,Parcel,398.00,0.00,0.00,0.00,0.00,-,9.95,9.95,0.00,418.00,-,biller,,0.00,418.00
32166,28-01-25,Cash,Dine In (23),-,637.00,0.00,0.00,0.00,0.00,-,15.93,15.93,0.00,669.00,-,biller,,0.00,669.00
32167,28-01-25,Cash,Dine In (25),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32168,28-01-25,Cash,Dine In (19),-,748.00,0.00,0.00,0.00,0.00,-,18.70,18.70,0.00,785.00,-,biller,,0.00,785.00
32169,28-01-25,Cash,Dine In (19),-,856.00,0.00,0.00,0.00,0.00,-,21.40,21.40,0.00,899.00,-,biller,,0.00,899.00
32170,29-01-25,Cash,TAKE AWAY,Parcel,269.00,0.00,0.00,0.00,0.00,-,6.73,6.73,0.00,282.00,-,biller,,0.00,282.00
32171,29-01-25,Cash,Dine In (9),-,429.00,0.00,0.00,0.00,0.00,-,10.73,10.73,0.00,450.00,-,biller,,0.00,450.00
32172,29-01-25,Cash,Dine In (23),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
32173,29-01-25,Cash,Dine In (20),-,1368.00,0.00,0.00,0.00,0.00,-,34.20,34.20,0.00,1436.00,-,biller,,0.00,1436.00
32174,29-01-25,Cash,Dine In (22),-,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32175,29-01-25,Cash,Dine In (19),-,597.00,0.00,0.00,0.00,0.00,-,14.93,14.93,0.00,627.00,-,biller,,0.00,627.00
32176,29-01-25,Cash,Dine In (23),-,379.00,37.90,0.00,0.00,0.00,-,8.53,8.53,0.00,358.00,-,biller,,0.00,358.00
32177,29-01-25,Cash,Dine In (20),-,867.00,86.70,0.00,0.00,0.00,-,19.51,19.51,0.00,819.00,-,biller,,0.00,819.00
32178,29-01-25,Cash,Dine In (20),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
32179,29-01-25,Online [Swiggy],Delivery,Swiggy,339.00,56.25,0.00,0.00,0.00,-,7.07,7.07,0.00,297.00,-,biller,,0.00,297.00
32180,29-01-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
32181,29-01-25,Cash,Dine In (24),-,678.00,67.80,0.00,0.00,0.00,-,15.26,15.26,0.00,641.00,-,biller,,0.00,641.00
32182,29-01-25,Cash,Dine In (23),-,329.00,0.00,0.00,0.00,0.00,-,8.23,8.23,0.00,345.00,-,biller,,0.00,345.00
32183,29-01-25,Online [Swiggy],Delivery,Swiggy,669.00,131.25,0.00,0.00,0.00,-,13.44,13.44,0.00,565.00,-,biller,,0.00,565.00
32184,29-01-25,Cash,Dine In (24),-,349.00,34.90,0.00,0.00,0.00,-,7.85,7.85,0.00,330.00,-,biller,,0.00,330.00
32185,29-01-25,Cash,TAKE AWAY,Parcel,639.00,0.00,0.00,0.00,0.00,-,15.98,15.98,0.00,-671.00,-,biller,out of stock,0.00,671.00
32186,29-01-25,Cash,TAKE AWAY,Parcel,518.00,0.00,0.00,0.00,0.00,-,12.95,12.95,0.00,544.00,-,biller,,0.00,544.00
32187,30-01-25,Online [Swiggy],Delivery,Swiggy,289.00,60.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
32188,30-01-25,Online [Swiggy],Delivery,Swiggy,409.00,140.00,0.00,0.00,0.00,-,6.73,6.73,0.00,282.00,-,biller,,0.00,282.00
32189,30-01-25,Cash,Dine In (23),-,768.00,0.00,0.00,0.00,0.00,-,19.20,19.20,0.00,806.00,-,biller,,0.00,806.00
32190,30-01-25,Cash,Dine In (24),-,699.00,0.00,0.00,0.00,0.00,-,17.48,17.48,0.00,734.00,-,biller,,0.00,734.00
32191,30-01-25,Cash,Dine In (25),-,848.00,0.00,0.00,0.00,0.00,-,21.20,21.20,0.00,890.00,-,biller,,0.00,890.00
32192,30-01-25,Cash,Dine In (20),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
32193,30-01-25,Cash,Dine In (25),-,1407.00,0.00,0.00,0.00,0.00,-,35.17,35.17,0.00,1477.00,-,biller,,0.00,1477.00
32194,30-01-25,Online [Swiggy],Delivery,Swiggy,758.00,189.53,0.00,0.00,0.00,-,14.21,14.21,0.00,597.00,-,biller,,0.00,597.00
32195,30-01-25,Cash,TAKE AWAY,Parcel,319.00,31.90,0.00,0.00,0.00,-,7.18,7.18,0.00,301.00,-,biller,,0.00,301.00
32196,30-01-25,Online [Swiggy],Delivery,Swiggy,289.00,60.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
32197,30-01-25,Cash,Dine In (23),-,887.00,0.00,0.00,0.00,0.00,-,22.18,22.18,0.00,931.00,-,biller,,0.00,931.00
32198,30-01-25,Online [Swiggy],Delivery,Swiggy,798.00,193.53,0.00,0.00,0.00,-,15.11,15.11,0.00,635.00,-,biller,,0.00,635.00
32199,30-01-25,Online [Swiggy],Delivery,Swiggy,468.00,139.99,0.00,0.00,0.00,-,8.20,8.20,0.00,344.00,-,biller,,0.00,344.00
32200,31-01-25,Online [Swiggy],Delivery,Swiggy,309.00,75.00,0.00,0.00,0.00,-,5.85,5.85,0.00,246.00,-,biller,,0.00,246.00
32201,31-01-25,Cash,Dine In (22),-,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32202,31-01-25,Cash,Dine In (24),-,918.00,0.00,0.00,0.00,0.00,-,22.95,22.95,0.00,964.00,-,biller,,0.00,964.00
32203,31-01-25,Cash,Dine In (24),-,588.00,0.00,0.00,0.00,0.00,-,14.70,14.70,0.00,617.00,-,biller,,0.00,617.00
32204,31-01-25,Online [Swiggy],Delivery,Swiggy,349.00,75.00,0.00,0.00,0.00,-,6.85,6.85,0.00,288.00,-,biller,,0.00,288.00
32205,31-01-25,Online [Swiggy],Delivery,Swiggy,239.00,53.78,0.00,0.00,0.00,-,4.63,4.63,0.00,194.00,-,biller,,0.00,194.00
32206,31-01-25,Online [Swiggy],Delivery,Swiggy,658.00,131.24,0.00,0.00,0.00,-,13.17,13.17,0.00,553.00,-,biller,,0.00,553.00
32207,31-01-25,Cash,Dine In (24),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
32208,31-01-25,Online [Swiggy],Delivery,Swiggy,558.00,74.99,0.00,0.00,0.00,-,12.08,12.08,0.00,507.00,-,biller,,0.00,507.00
32209,31-01-25,Cash,Dine In (25),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32210,31-01-25,Cash,TAKE AWAY,Parcel,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32211,31-01-25,Online [Swiggy],Delivery,Swiggy,349.00,75.00,0.00,0.00,0.00,-,6.85,6.85,0.00,288.00,-,biller,,0.00,288.00
32212,31-01-25,Cash,Dine In (23),-,807.00,0.00,0.00,0.00,0.00,-,20.18,20.18,0.00,847.00,-,biller,,0.00,847.00
32213,31-01-25,Cash,Dine In (24),-,608.00,60.80,0.00,0.00,0.00,-,13.68,13.68,0.00,575.00,-,biller,,0.00,575.00
32214,31-01-25,Cash,Dine In (25),-,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
32215,31-01-25,Cash,Dine In (23),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32216,31-01-25,Cash,Dine In (22),-,1353.00,135.30,0.00,0.00,0.00,-,30.44,30.44,0.00,1279.00,-,biller,,0.00,1279.00
32217,31-01-25,Cash,Dine In (24),-,997.00,0.00,0.00,0.00,0.00,-,24.93,24.93,0.00,1047.00,-,biller,,0.00,1047.00
32218,01-02-25,Online [Swiggy],Delivery,Swiggy,758.00,189.53,0.00,0.00,0.00,-,14.21,14.21,0.00,597.00,-,biller,,0.00,597.00
32219,01-02-25,Online [Swiggy],Delivery,Swiggy,868.00,200.52,0.00,0.00,0.00,-,16.69,16.69,0.00,701.00,-,biller,,0.00,701.00
32220,01-02-25,Cash,Dine In (25),-,787.00,0.00,0.00,0.00,0.00,-,19.68,19.68,0.00,826.00,-,biller,,0.00,826.00
32221,01-02-25,Cash,Dine In (22),-,1137.00,113.70,0.00,0.00,0.00,-,25.58,25.58,0.00,1074.00,-,biller,,0.00,1074.00
32222,01-02-25,Cash,Dine In (24),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
32223,01-02-25,Cash,Dine In (1),-,539.00,53.90,0.00,0.00,0.00,-,12.13,12.13,0.00,509.00,-,biller,,0.00,509.00
32224,01-02-25,Cash,Dine In (22),-,489.00,0.00,0.00,0.00,0.00,-,12.23,12.23,0.00,513.00,-,biller,,0.00,513.00
32225,01-02-25,Cash,Dine In (22),-,669.00,0.00,0.00,0.00,0.00,-,16.73,16.73,0.00,702.00,-,biller,,0.00,702.00
32226,01-02-25,Online [Swiggy],Delivery,Swiggy,389.00,75.00,0.00,0.00,0.00,-,7.85,7.85,0.00,-330.00,-,biller,-,0.00,330.00
